"","location","continent","total_cases_per_million","gdp_per_capita","total_deaths_per_million","extreme_poverty"
"988","Afghanistan","Asia",4955.874,1803.987,190.329,NA
"1987","Africa","",8686.212,NA,180.162,NA
"2974","Albania","Europe",117178.303,11803.431,1264.109,1.1
"3961","Algeria","Africa",6032.551,13913.839,153.241,0.5
"4942","Andorra","Europe",583495.109,NA,1941.31,NA
"5905","Angola","Africa",2897.834,5819.495,53.865,NA
"6860","Anguilla","North America",245890.282,NA,755.81,NA
"7830","Antigua and Barbuda","North America",97107.879,21490.943,1556.968,NA
"8872","Argentina","South America",213583.01,18933.907,2856.561,0.6
"9881","Armenia","Asia",160187.551,8787.58,3132.202,1.8
"10851","Aruba","North America",407471.421,35973.781,2188.636,NA
"11872","Asia","",40339.721,NA,316.797,NA
"12889","Australia","Oceania",398189.355,44648.71,603.268,0.5
"13876","Austria","Europe",611767.484,45436.686,2353.568,0.7
"14858","Azerbaijan","Asia",79506.932,15847.419,961.279,NA
"15825","Bahamas","North America",91187.812,27717.847,2031.762,NA
"16813","Bahrain","Asia",470120.64,43290.705,1038.556,NA
"17788","Bangladesh","Asia",11892.781,3523.984,171.895,14.8
"18754","Barbados","North America",367212.742,16978.068,1988.312,NA
"19738","Belarus","Europe",104251.871,17167.967,746.516,NA
"20746","Belgium","Europe",396341.071,42658.576,2827.661,0.2
"21706","Belize","North America",170181.477,7824.362,1695.103,NA
"22673","Benin","Africa",2090.338,2064.236,12.207,49.6
"23637","Bermuda","North America",287009.205,50669.315,2320.619,NA
"24614","Bhutan","Asia",79787.132,8708.597,26.839,1.5
"25586","Bolivia","South America",90775.659,6885.829,1819.355,7.1
"26536","Bonaire Sint Eustatius and Saba","North America",423887.328,NA,1404.702,NA
"27514","Bosnia and Herzegovina","Europe",123731.649,11713.895,5004.438,0.2
"28467","Botswana","Africa",124071.019,15807.374,1060.716,NA
"29453","Brazil","South America",161882.517,14103.452,3197.175,3.4
"30408","British Virgin Islands","North America",233148.219,NA,2042.64,NA
"31382","Brunei","Asia",536843.934,71809.251,501.111,NA
"32357","Bulgaria","Europe",189019.833,18563.307,5592.93,1.5
"33330","Burkina Faso","Africa",954.01,1703.102,17.068,43.7
"34282","Burundi","Africa",3919.211,702.225,2.948,71.7
"35298","Cambodia","Asia",8229.796,3645.07,182.254,NA
"36275","Cameroon","Africa",4441.878,3364.926,70.393,23.8
"37295","Canada","North America",114122.551,44017.591,1221.501,0.5
"38258","Cape Verde","Africa",105470.344,6222.554,691.211,NA
